@relation ThresholdCurve

@attribute Instance_number numeric
@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
98,473,35,84,326,0.204878,0.931102,0.849192,0.931102,0.150808,0.888263,0.606754,1.534564,0.453529
99,472,36,84,326,0.204878,0.929134,0.848921,0.929134,0.151079,0.887218,0.605664,1.534074,0.454
100,472,36,83,327,0.202439,0.929134,0.85045,0.929134,0.14955,0.888053,0.604575,1.536838,0.455
101,472,36,82,328,0.2,0.929134,0.851986,0.929134,0.148014,0.888889,0.603486,1.539612,0.457043
102,472,36,81,329,0.197561,0.929134,0.853526,0.929134,0.146474,0.889727,0.602397,1.542396,0.458
103,471,37,81,329,0.197561,0.927165,0.853261,0.927165,0.146739,0.888679,0.601307,1.541916,0.46
104,468,40,77,333,0.187805,0.92126,0.858716,0.92126,0.141284,0.888889,0.593682,1.551773,0.47
105,466,42,75,335,0.182927,0.917323,0.861368,0.917323,0.138632,0.888465,0.589325,1.556566,0.48
106,464,44,74,336,0.180488,0.913386,0.862454,0.913386,0.137546,0.887189,0.586057,1.558528,0.484667
107,464,44,73,337,0.178049,0.913386,0.86406,0.913386,0.13594,0.888038,0.584967,1.561431,0.49
108,463,45,73,337,0.178049,0.911417,0.863806,0.911417,0.136194,0.886973,0.583878,1.560972,0.495
109,462,46,73,337,0.178049,0.909449,0.863551,0.909449,0.136449,0.885906,0.582789,1.560512,0.5
110,461,47,71,339,0.173171,0.90748,0.866541,0.90748,0.133459,0.886538,0.579521,1.565915,0.505562
111,461,47,70,340,0.170732,0.90748,0.868173,0.90748,0.131827,0.887392,0.578431,1.568864,0.509091
112,460,48,70,340,0.170732,0.905512,0.867925,0.905512,0.132075,0.88632,0.577342,1.568415,0.51
113,456,52,70,340,0.170732,0.897638,0.86692,0.897638,0.13308,0.882012,0.572985,1.5666,0.52
114,451,57,69,341,0.168293,0.887795,0.867308,0.887795,0.132692,0.877432,0.566449,1.5673,0.521429
115,450,58,69,341,0.168293,0.885827,0.867052,0.885827,0.132948,0.876339,0.565359,1.566838,0.53
116,448,60,69,341,0.168293,0.88189,0.866538,0.88189,0.133462,0.874146,0.563181,1.565909,0.536667
117,448,60,68,342,0.165854,0.88189,0.868217,0.88189,0.131783,0.875,0.562092,1.568943,0.54
118,444,64,66,344,0.160976,0.874016,0.870588,0.874016,0.129412,0.872299,0.555556,1.573228,0.543333
119,443,65,66,344,0.160976,0.872047,0.870334,0.872047,0.129666,0.87119,0.554466,1.572769,0.549821
120,442,66,66,344,0.160976,0.870079,0.870079,0.870079,0.129921,0.870079,0.553377,1.572308,0.55
121,441,67,64,346,0.156098,0.86811,0.873267,0.86811,0.126733,0.870681,0.550109,1.57807,0.555
122,440,68,64,346,0.156098,0.866142,0.873016,0.866142,0.126984,0.869565,0.54902,1.577615,0.56
123,438,70,61,349,0.14878,0.862205,0.877756,0.862205,0.122244,0.869911,0.543573,1.58618,0.562269
124,437,71,61,349,0.14878,0.860236,0.87751,0.860236,0.12249,0.868787,0.542484,1.585737,0.57
125,437,71,60,350,0.146341,0.860236,0.879276,0.860236,0.120724,0.869652,0.541394,1.588927,0.58
126,436,72,59,351,0.143902,0.858268,0.880808,0.858268,0.119192,0.869392,0.539216,1.591696,0.582
127,435,73,59,351,0.143902,0.856299,0.880567,0.856299,0.119433,0.868263,0.538126,1.59126,0.586603
128,434,74,59,351,0.143902,0.854331,0.880325,0.854331,0.119675,0.867133,0.537037,1.590823,0.59
129,432,76,58,352,0.141463,0.850394,0.881633,0.850394,0.118367,0.865731,0.533769,1.593187,0.6
130,431,77,57,353,0.139024,0.848425,0.883197,0.848425,0.116803,0.865462,0.53159,1.596013,0.603
131,430,78,57,353,0.139024,0.846457,0.882957,0.846457,0.117043,0.864322,0.530501,1.59558,0.604091
132,429,79,57,353,0.139024,0.844488,0.882716,0.844488,0.117284,0.863179,0.529412,1.595144,0.60625
133,428,80,57,353,0.139024,0.84252,0.882474,0.84252,0.117526,0.862034,0.528322,1.594707,0.607619
134,427,81,57,353,0.139024,0.840551,0.882231,0.840551,0.117769,0.860887,0.527233,1.594269,0.608333
135,426,82,57,353,0.139024,0.838583,0.881988,0.838583,0.118012,0.859738,0.526144,1.593828,0.61
136,421,87,55,355,0.134146,0.82874,0.884454,0.82874,0.115546,0.855691,0.518519,1.598285,0.6175
137,420,88,55,355,0.134146,0.826772,0.884211,0.826772,0.115789,0.854527,0.517429,1.597845,0.62
138,419,89,55,355,0.134146,0.824803,0.883966,0.824803,0.116034,0.85336,0.51634,1.597404,0.624
139,419,89,54,356,0.131707,0.824803,0.885835,0.824803,0.114165,0.85423,0.515251,1.600781,0.63
140,417,91,53,357,0.129268,0.820866,0.887234,0.820866,0.112766,0.852761,0.511983,1.603309,0.634706
141,416,92,53,357,0.129268,0.818898,0.886994,0.818898,0.113006,0.851586,0.510893,1.602874,0.638571
142,415,93,53,357,0.129268,0.816929,0.886752,0.816929,0.113248,0.85041,0.509804,1.602438,0.64
143,413,95,51,359,0.12439,0.812992,0.890086,0.812992,0.109914,0.849794,0.505447,1.608463,0.643308
144,412,96,51,359,0.12439,0.811024,0.889849,0.811024,0.110151,0.84861,0.504357,1.608034,0.644286
145,411,97,51,359,0.12439,0.809055,0.88961,0.809055,0.11039,0.847423,0.503268,1.607603,0.645
146,410,98,51,359,0.12439,0.807087,0.889371,0.807087,0.110629,0.846233,0.502179,1.60717,0.65
147,408,100,51,359,0.12439,0.80315,0.888889,0.80315,0.111111,0.843847,0.5,1.606299,0.651053
148,407,101,51,359,0.12439,0.801181,0.888646,0.801181,0.111354,0.84265,0.498911,1.605861,0.653333
149,406,102,51,359,0.12439,0.799213,0.888403,0.799213,0.111597,0.841451,0.497821,1.60542,0.655
150,405,103,51,359,0.12439,0.797244,0.888158,0.797244,0.111842,0.840249,0.496732,1.604978,0.655792
151,404,104,51,359,0.12439,0.795276,0.887912,0.795276,0.112088,0.839045,0.495643,1.604534,0.658586
152,403,105,51,359,0.12439,0.793307,0.887665,0.793307,0.112335,0.837838,0.494553,1.604088,0.66
153,402,106,49,361,0.119512,0.791339,0.891353,0.791339,0.108647,0.838373,0.491285,1.610751,0.660417
154,402,106,48,362,0.117073,0.791339,0.893333,0.791339,0.106667,0.839248,0.490196,1.614331,0.67
155,400,108,44,366,0.107317,0.787402,0.900901,0.787402,0.099099,0.840336,0.48366,1.628006,0.673525
156,399,109,44,366,0.107317,0.785433,0.900677,0.785433,0.099323,0.839117,0.482571,1.627602,0.6775
157,398,110,44,366,0.107317,0.783465,0.900452,0.783465,0.099548,0.837895,0.481481,1.627196,0.679284
158,398,110,43,367,0.104878,0.783465,0.902494,0.783465,0.097506,0.838778,0.480392,1.630885,0.68
159,396,112,43,367,0.104878,0.779528,0.90205,0.779528,0.09795,0.836325,0.478214,1.630083,0.687105
160,395,113,43,367,0.104878,0.777559,0.901826,0.777559,0.098174,0.835095,0.477124,1.629679,0.688889
161,395,113,42,368,0.102439,0.777559,0.90389,0.777559,0.09611,0.835979,0.476035,1.633408,0.69
