@relation ThresholdCurve

@attribute Instance_number numeric
@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
99,358,52,83,425,0.163386,0.873171,0.811791,0.873171,0.188209,0.841363,0.480392,1.817621,0.261588
100,358,52,82,426,0.161417,0.873171,0.813636,0.873171,0.186364,0.842353,0.479303,1.821752,0.264167
101,357,53,82,426,0.161417,0.870732,0.813212,0.870732,0.186788,0.840989,0.478214,1.820801,0.27
102,354,56,78,430,0.153543,0.863415,0.819444,0.863415,0.180556,0.840855,0.470588,1.834756,0.275694
103,353,57,78,430,0.153543,0.860976,0.819026,0.860976,0.180974,0.839477,0.469499,1.833818,0.28
104,352,58,72,436,0.141732,0.858537,0.830189,0.858537,0.169811,0.844125,0.461874,1.858813,0.2825
105,351,59,72,436,0.141732,0.856098,0.829787,0.856098,0.170213,0.842737,0.460784,1.857914,0.28619
106,351,59,71,437,0.139764,0.856098,0.831754,0.856098,0.168246,0.84375,0.459695,1.862316,0.286588
107,350,60,71,437,0.139764,0.853659,0.831354,0.853659,0.168646,0.842359,0.458606,1.861422,0.29
108,350,60,69,439,0.135827,0.853659,0.835322,0.853659,0.164678,0.844391,0.456427,1.870307,0.3
109,350,60,68,440,0.133858,0.853659,0.837321,0.853659,0.162679,0.845411,0.455338,1.874781,0.300968
110,350,60,67,441,0.13189,0.853659,0.839329,0.853659,0.160671,0.846433,0.454248,1.879277,0.306
111,350,60,66,442,0.129921,0.853659,0.841346,0.853659,0.158654,0.847458,0.453159,1.883795,0.31
112,347,63,63,445,0.124016,0.846341,0.846341,0.846341,0.153659,0.846341,0.446623,1.894979,0.317745
113,347,63,62,446,0.122047,0.846341,0.848411,0.846341,0.151589,0.847375,0.445534,1.899612,0.32
114,342,68,59,449,0.116142,0.834146,0.852868,0.834146,0.147132,0.843403,0.436819,1.909592,0.33
115,342,68,58,450,0.114173,0.834146,0.855,0.834146,0.145,0.844444,0.43573,1.914366,0.335
116,342,68,57,451,0.112205,0.834146,0.857143,0.834146,0.142857,0.845488,0.434641,1.919164,0.338
117,342,68,56,452,0.110236,0.834146,0.859296,0.834146,0.140704,0.846535,0.433551,1.923986,0.339925
118,341,69,56,452,0.110236,0.831707,0.858942,0.831707,0.141058,0.845105,0.432462,1.923192,0.34
119,338,72,55,453,0.108268,0.82439,0.860051,0.82439,0.139949,0.841843,0.428105,1.925675,0.346
120,338,72,54,454,0.106299,0.82439,0.862245,0.82439,0.137755,0.842893,0.427015,1.930587,0.362
121,337,73,54,454,0.106299,0.821951,0.861893,0.821951,0.138107,0.841448,0.425926,1.929799,0.363333
122,337,73,53,455,0.104331,0.821951,0.864103,0.821951,0.135897,0.8425,0.424837,1.934747,0.365089
123,336,74,53,455,0.104331,0.819512,0.863753,0.819512,0.136247,0.841051,0.423747,1.933965,0.365667
124,336,74,52,456,0.102362,0.819512,0.865979,0.819512,0.134021,0.842105,0.422658,1.938949,0.37
125,334,76,51,457,0.100394,0.814634,0.867532,0.814634,0.132468,0.840252,0.41939,1.942426,0.375556
126,334,76,50,458,0.098425,0.814634,0.869792,0.814634,0.130208,0.84131,0.418301,1.947485,0.38
127,333,77,48,460,0.094488,0.812195,0.874016,0.812195,0.125984,0.841972,0.415033,1.956943,0.382
128,333,77,47,461,0.09252,0.812195,0.876316,0.812195,0.123684,0.843038,0.413943,1.962092,0.39
129,333,77,43,465,0.084646,0.812195,0.885638,0.812195,0.114362,0.847328,0.409586,1.982966,0.391667
130,332,78,43,465,0.084646,0.809756,0.885333,0.809756,0.114667,0.84586,0.408497,1.982283,0.395
131,332,78,42,466,0.082677,0.809756,0.887701,0.809756,0.112299,0.846939,0.407407,1.987583,0.4
132,327,83,42,466,0.082677,0.797561,0.886179,0.797561,0.113821,0.839538,0.401961,1.984176,0.41
133,327,83,40,468,0.07874,0.797561,0.891008,0.797561,0.108992,0.841699,0.399782,1.994989,0.412857
134,327,83,39,469,0.076772,0.797561,0.893443,0.797561,0.106557,0.842784,0.398693,2.00044,0.414977
135,327,83,38,470,0.074803,0.797561,0.89589,0.797561,0.10411,0.843871,0.397603,2.00592,0.415119
136,326,84,38,470,0.074803,0.795122,0.895604,0.795122,0.104396,0.842377,0.396514,2.00528,0.418131
137,325,85,38,470,0.074803,0.792683,0.895317,0.792683,0.104683,0.84088,0.395425,2.004636,0.42
138,325,85,35,473,0.068898,0.792683,0.902778,0.792683,0.097222,0.844156,0.392157,2.021341,0.43
139,321,89,35,473,0.068898,0.782927,0.901685,0.782927,0.098315,0.83812,0.3878,2.018896,0.44
140,320,90,35,473,0.068898,0.780488,0.901408,0.780488,0.098592,0.836601,0.38671,2.018276,0.441667
141,320,90,34,474,0.066929,0.780488,0.903955,0.780488,0.096045,0.837696,0.385621,2.023977,0.448333
142,319,91,34,474,0.066929,0.778049,0.903683,0.778049,0.096317,0.836173,0.384532,2.023368,0.45
143,316,94,29,479,0.057087,0.770732,0.915942,0.770732,0.084058,0.837086,0.375817,2.050817,0.452
144,316,94,28,480,0.055118,0.770732,0.918605,0.770732,0.081395,0.838196,0.374728,2.056778,0.453182
145,316,94,27,481,0.05315,0.770732,0.921283,0.770732,0.078717,0.839309,0.373638,2.062775,0.453333
146,316,94,26,482,0.051181,0.770732,0.923977,0.770732,0.076023,0.840426,0.372549,2.068806,0.46
147,312,98,24,484,0.047244,0.760976,0.928571,0.760976,0.071429,0.836461,0.366013,2.079094,0.461111
148,312,98,23,485,0.045276,0.760976,0.931343,0.760976,0.068657,0.837584,0.364924,2.0853,0.4625
149,311,99,23,485,0.045276,0.758537,0.931138,0.758537,0.068862,0.836022,0.363834,2.08484,0.463989
150,310,100,23,485,0.045276,0.756098,0.930931,0.756098,0.069069,0.834455,0.362745,2.084377,0.465
151,309,101,23,485,0.045276,0.753659,0.930723,0.753659,0.069277,0.832884,0.361656,2.083911,0.47
152,307,103,22,486,0.043307,0.74878,0.933131,0.74878,0.066869,0.830853,0.358388,2.089302,0.477895
153,306,104,22,486,0.043307,0.746341,0.932927,0.746341,0.067073,0.829268,0.357298,2.088846,0.48
154,303,107,22,486,0.043307,0.739024,0.932308,0.739024,0.067692,0.82449,0.354031,2.08746,0.482145
